Aquifer,Top,Bot,Thick_ft,Description
Upper,0,22,22,sand
Upper,22,25,3,clay
Upper,25,27,2,sand
Upper,27,30,3,clay
Upper,30,32,2,sand
Upper,32,40,8,clay
Upper,40,57,17,sand
Upper,57,60,3,clay
Upper,60,61,1,sand
Upper,61,62,1,clay
Upper,62,63,1,sand
Upper,63,65,2,clay
Upper,65,67,2,sand
Upper,67,70,3,clay
Upper,70,72,2,sand
Upper,72,75,3,clay
Upper,75,77,2,sand
Upper,77,80,3,clay
Upper,80,119,39,sand
Lower,119,139,20,sand
Lower,139,159,20,clay
Lower,159,184,25,sand
Lower,184,189,5,clay
Lower,189,194,5,sand
Lower,194,199,5,clay
Lower,199,204,5,sand
Lower,204,209,5,clay
Lower,209,214,5,sand
Lower,214,219,5,clay
Lower,219,229,10,sand
Lower,229,239,10,clay
Lower,239,244,5,sand
Lower,244,249,5,clay
Lower,249,254,5,sand
Lower,254,259,5,clay
Lower,259,264,5,sand
Lower,264,269,5,clay
Lower,269,274,5,sand
Lower,274,279,5,clay
Lower,279,284,5,sand
Lower,284,289,5,clay
Lower,289,294,5,sand
Lower,294,299,5,clay
Lower,299,304,5,sand
Lower,304,309,5,clay
Lower,309,314,5,sand
Lower,314,319,5,clay
Lower,319,324,5,sand
Lower,324,339,15,clay
Lower,339,364,25,sand
Lower,364,369,5,clay
Lower,369,374,5,sand
Lower,374,379,5,clay
Lower,379,389,10,sand
Lower,389,399,10,clay
Lower,399,404,5,sand
Lower,404,409,5,clay
Lower,409,414,5,sand
Lower,414,419,5,clay
Lower,419,424,5,sand
Lower,424,439,15,clay
Lower,439,444,5,sand
Lower,444,459,15,clay
Lower,459,469,10,sand
Lower,469,589,120,clay
Lower,589,609,20,sand
Lower,609,709,100,clay
Lower,709,729,20,sand
Lower,729,749,20,clay
Lower,749,769,20,sand
Lower,769,789,20,clay
Lower,789,794,5,sand
Lower,794,799,5,clay
Lower,799,804,5,sand
Lower,804,809,5,clay
Lower,809,819,10,sand
Lower,819,829,10,clay
Lower,829,874,45,sand
Lower,874,919,45,clay
Lower,919,921,2,sand
Lower,921,924,3,clay
