FID,Shape,Subbasin,Name,PID,Lat,Long,OBJECTID_1 *,Join_Count,TARGET_FID,OBJECTID,ROW,COLUMN_,active,fid_61_65,fid_66_68,fid_69_78,fid_79_80,fid_81_82,fid_83_84,fid_85_87,fid_88,fid_89_94,fid_95_96,fid_97,fid_98,fid_99,fid_00_04,fid_05_09,lay1t_m,lay2t_m,lay3t_m,lay4t_m,lay5t_m,lay6t_m,lay7t_m,lay8t_m,lay9t_m,lay10t_m,lay11t_m,lay12t_m,lay13t_m,lay13b_m,up_act,low_act,Crcn_tpbgs,Crcn_btbgs,Top_1_ft,bot_5_ft,UpperAQbls,Upper_elev,Crcnbotbls,botmodbls,Unnamed: 0,Layer,Top,Thickness,Num_IBs,IB_Thk,ND_SSE,ND_SSV,D_SSE,D_SSV,D_KV,KV,KH,IH
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447564,1,108.509,4.572,0.0,0.0,0.004146807,0.014614947,1e-05,0.0019,4.18e-05,5.654139313,3.749979953,-9999.0
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447565,2,103.937,3.048,0.0,0.0,0.002764252,0.009742079,1e-05,0.0019,4.18e-05,5.770545416,3.765212388,100.9889984
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447566,3,100.889,7.6202,0.0,0.0,0.006910901,0.024356217,1e-05,0.0019,4.18e-05,5.066547295,3.668371087,93.3687973
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447567,4,93.2688,30.48,0.0,0.0,0.035313345,0.130180994,1e-05,0.0019,4.18e-05,2.070738706,3.02802958,91.81420136
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447568,5,62.7888,45.72,0.0,0.0,0.057192106,0.213303002,1e-05,0.0019,4.18e-05,3.59176975,3.416939366,91.81109619
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447569,6,17.0688,0.9144,0.0,0.0,0.000626167,0.01444026,1e-05,0.0021,0.000171446,0.066045489,0.936054273,91.8105011
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447570,7,16.1544,0.9144,0.0,0.0,0.000626167,0.01444026,1e-05,0.0021,0.000171446,0.066045489,0.936054273,91.81040192
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447571,8,15.24,1.2192,0.0,0.0,0.00083489,0.01925368,1e-05,0.0021,0.000171446,0.066045489,0.936054273,91.81040192
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447572,9,14.0208,57.912,0.0,0.0,0.086199676,1.452359157,1e-05,0.0021,0.000171446,0.29482915,1.776769858,91.77320099
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447573,10,-43.8912,76.1998,0.0,0.0,0.145221777,2.510670656,1e-05,0.0021,0.000171446,0.112415712,1.223905615,91.27890015
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447574,11,-120.091,91.44,1.78333,11.10953328,0.179551759,3.113066731,1e-05,0.0021,0.000171446,0.062518498,0.907017101,89.91069794
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447575,12,-211.531,106.68,2.0,4.2672,0.202591334,3.501632127,1e-05,0.0021,0.000171446,0.128170196,1.296719502,88.66269684
28,Point,Kaweah,D 289,GT0790,36.3054,-119.243,29,1,28,33985,347,77,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,108.509,103.937,100.889,93.2688,62.7888,17.0688,16.1544,15.24,14.0208,-43.8912,-120.091,-211.531,-318.211,-440.131,4,13,300.001,310.001,356.001,56.0,300,56,500,1800,447576,13,-318.211,121.92,0.0,0.0,0.047901751,0.538858292,1e-05,0.0021,0.000171446,16.31140477,4.574457115,88.33750153
