Aquifer,Top,Bot,Thick_ft,Description
upper aquifer,0,30,30,conductor
upper aquifer,30,40,10,sand
upper aquifer,40,60,20,clay
upper aquifer,60,80,20,sand
upper aquifer,80,120,40,clay
upper aquifer,120,140,20,sand
upper aquifer,140,160,20,sand
upper aquifer,160,170,10,sand
upper aquifer,170,190,20,clay
upper aquifer,190,200,10,sand
upper aquifer,200,230,30,clay
corcoran,230,330,100,clay
corcoran,330,340,10,clay
lower aquifer,340,370,30,clay
lower aquifer,370,400,30,sand
lower aquifer,400,420,20,clay
lower aquifer,420,430,10,clay
lower aquifer,430,440,10,sand
lower aquifer,440,450,10,clay
lower aquifer,450,470,20,sand
lower aquifer,470,490,20,clay
lower aquifer,490,500,10,sand
lower aquifer,500,530,30,clay
lower aquifer,530,550,20,sand
lower aquifer,550,570,20,clay
lower aquifer,570,580,10,sand
lower aquifer,580,620,40,clay
lower aquifer,620,630,10,sand
lower aquifer,630,660,30,clay
lower aquifer,660,670,10,sand
lower aquifer,670,680,10,clay
lower aquifer,680,690,10,sand
lower aquifer,690,730,40,clay
lower aquifer,730,740,10,sand
lower aquifer,740,760,20,clay
lower aquifer,760,790,30,clay
lower aquifer,790,800,10,sand
lower aquifer,800,810,10,clay
lower aquifer,810,830,20,clay
lower aquifer,830,890,60,sand
lower aquifer,890,900,10,sand
lower aquifer,900,910,10,clay
lower aquifer,910,940,30,clay
lower aquifer,940,950,10,sand
lower aquifer,950,970,20,clay
lower aquifer,970,1000,30,sand
lower aquifer,1000,1020,20,clay
