Date,BLS,Alt,Aquifer
1/1/1950,,193.25,Upper
10/17/1957,,117.46,Upper
10/29/1958,,105.86,Upper
10/14/1959,,91.46,Upper
3/19/1962,,89.76,Upper
3/4/1971,,50.86,Upper
2/14/1972,,45.66,Upper
4/12/1973,,53.66,Upper
3/15/1974,,41.66,Upper
2/19/1975,,17.66,Upper
10/26/1976,,6.66,Upper
2/2/1977,,26.66,Upper
6/8/1977,,11.66,Upper
8/29/1977,,-2.34,Upper
10/13/1977,,-0.34,Upper
3/23/1978,,17.86,Upper
10/16/1978,,44.86,Upper
2/6/1980,,47.86,Upper
10/2/1980,,36.86,Upper
2/20/1981,,47.86,Upper
2/8/1982,,37.86,Upper
10/14/1982,,39.86,Upper
10/30/1984,,59.66,Upper
2/22/1985,,122.86,Upper
2/11/1986,,68.86,Upper
10/10/1986,,78.86,Upper
2/27/1987,,83.86,Upper
10/14/1987,,67.86,Upper
2/19/1988,,76.86,Upper
10/17/1988,,58.86,Upper
2/17/1989,,69.86,Upper
10/12/1989,,49.86,Upper
2/9/1990,,59.86,Upper
10/23/1990,,42.86,Upper
1/23/1991,,45.86,Upper
10/29/1991,,36.86,Upper
3/22/1993,,46.86,Upper
10/18/1993,,42.86,Upper
3/10/1994,,52.86,Upper
11/15/1994,,38.66,Upper
3/3/1995,,48.86,Upper
10/23/1995,,47.86,Upper
4/19/1996,,58.86,Upper
10/17/1996,,50.86,Upper
2/24/1997,,59.86,Upper
10/20/1997,,55.86,Upper
3/23/1998,,60.66,Upper
10/23/1998,,63.66,Upper
10/21/1999,,64.66,Upper
2/8/2000,,68.86,Upper
2/5/2001,,62.86,Upper
10/11/2001,,48.86,Upper
2/5/2002,,48.86,Upper
3/10/2003,,47.86,Upper
3/10/2004,,53.86,Upper
3/15/2005,,45.86,Upper
2/15/2006,,57.86,Upper
10/12/2006,,53.86,Upper
2/21/2007,,67.86,Upper
3/5/2008,,46.86,Upper
10/24/2008,,28.56,Upper
2/24/2009,,33.86,Upper
10/8/2009,,20.86,Upper
3/29/2010,,31.86,Upper
10/25/2012,,33.56,Upper
2/24/2014,,23.06,Upper
10/30/2014,,16.06,Upper
4/2/2015,,4.06,Upper
10/13/2015,,12.86,Upper
3/22/2016,,-6.04,Upper
3/24/2017,,-8.64,Upper
3/12/2018,,72.86,Upper
3/19/2019,,-17.14,Upper
10/17/2019,,-29.89,Upper
2/5/2020,,-29,Upper
10/9/2020,,-61.09,Upper
4/12/2021,,-51.01,Upper
10/13/2021,,-77.9,Upper
3/16/2022,,-41.85,Upper
10/4/2022,,-86.01,Upper
4/13/2023,,-30.02,Upper
10/19/2023,,-29.5,Upper
3/19/2024,,19.8,Upper
11/18/1949,,168.91,Lower
12/3/1949,,173.01,Lower
11/8/1950,,170.61,Lower
5/30/1951,,116.09,Lower
5/30/1951,,116.09,Lower
11/13/1951,,131.11,Lower
10/28/1952,,153.11,Lower
12/3/1953,,150.41,Lower
11/1/1954,,160.11,Lower
10/22/1955,,151.81,Lower
2/14/1956,,168.11,Lower
10/11/1956,,135.11,Lower
2/12/1957,,163.11,Lower
10/3/1957,,151.11,Lower
2/12/1958,,161.91,Lower
10/2/1958,,156.11,Lower
10/29/1958,,157.61,Lower
2/6/1959,,162.61,Lower
2/17/1959,,163.81,Lower
9/30/1959,,146.91,Lower
2/15/1960,,151.91,Lower
10/7/1960,,142.41,Lower
1/23/1961,,149.11,Lower
2/9/1961,,146.91,Lower
7/21/1961,,142.91,Lower
8/23/1961,,133.11,Lower
9/20/1961,,93.97,Lower
10/9/1961,,17.47,Lower
10/13/1961,,9.07,Lower
10/19/1961,,7.57,Lower
11/16/1961,,130.27,Lower
12/21/1961,,23.97,Lower
1/18/1962,,47.87,Lower
2/5/1962,,70.17,Lower
2/13/1962,,82.47,Lower
3/15/1962,,144.07,Lower
4/13/1962,,99.57,Lower
5/18/1962,,84.87,Lower
6/21/1962,,76.67,Lower
7/19/1962,,58.17,Lower
8/8/1962,,29.87,Lower
9/20/1962,,12.87,Lower
10/8/1962,,13.17,Lower
10/14/1962,,14.47,Lower
11/25/1962,,17.07,Lower
12/15/1962,,51.07,Lower
1/26/1963,,61.37,Lower
2/6/1963,,70.47,Lower
2/21/1963,,73.37,Lower
3/18/1963,,73.27,Lower
5/22/1963,,64.27,Lower
6/19/1963,,66.17,Lower
7/18/1963,,51.27,Lower
8/16/1963,,5.87,Lower
9/12/1963,,0.07,Lower
10/10/1963,,4.27,Lower
11/13/1963,,39.57,Lower
12/11/1963,,59.67,Lower
1/1/1964,,71.87,Lower
1/28/1964,,70.87,Lower
2/19/1964,,66.57,Lower
3/18/1964,,43.67,Lower
4/21/1964,,51.27,Lower
5/19/1964,,47.37,Lower
6/25/1964,,18.17,Lower
9/22/1964,,-12.83,Lower
1/27/1965,,63.87,Lower
7/21/1965,,-5.13,Lower
8/24/1965,,-24.93,Lower
9/23/1965,,-29.03,Lower
10/25/1965,,-14.73,Lower
11/24/1965,,31.07,Lower
12/17/1965,,41.97,Lower
1/19/1966,,62.47,Lower
2/24/1966,,69.27,Lower
3/23/1966,,42.77,Lower
4/21/1966,,28.47,Lower
5/19/1966,,19.77,Lower
6/20/1966,,-6.23,Lower
7/19/1966,,-26.63,Lower
8/22/1966,,-42.03,Lower
9/20/1966,,-31.53,Lower
3/21/1967,,24.57,Lower
5/31/1967,,32.47,Lower
6/19/1967,,24.07,Lower
7/18/1967,,-13.43,Lower
8/22/1967,,-29.43,Lower
9/18/1967,,-34.43,Lower
10/24/1967,,-39.43,Lower
11/21/1967,,12.57,Lower
12/27/1967,,38.07,Lower
1/28/1968,,48.17,Lower
2/20/1968,,41.97,Lower
3/19/1968,,26.07,Lower
4/24/1968,,22.17,Lower
5/20/1968,,14.57,Lower
6/25/1968,,-27.83,Lower
7/23/1968,,-50.33,Lower
8/27/1968,,-59.63,Lower
9/24/1968,,-54.03,Lower
10/16/1968,,-40.83,Lower
11/18/1968,,-16.93,Lower
12/18/1968,,14.57,Lower
3/20/1969,,62.97,Lower
10/20/1969,,-13.53,Lower
11/24/1969,,15.37,Lower
12/22/1969,,35.27,Lower
1/1/1970,,36.59,Lower
9/29/1971,,-66.43,Lower
2/10/1972,,26.57,Lower
10/13/1972,,-72.43,Lower
10/11/1973,,-85.39,Lower
1/29/1974,,0.61,Lower
9/25/1974,,-97.39,Lower
1/28/1975,,-4.39,Lower
9/22/1975,,-69.39,Lower
2/1/1977,,-19.39,Lower
10/4/1977,,-133.39,Lower
2/7/1979,,19.61,Lower
9/26/1979,,-64.39,Lower
2/8/1980,,7.61,Lower
9/23/1981,,-101.39,Lower
1/27/1982,,12.61,Lower
9/29/1982,,-76.39,Lower
1/24/1983,,10.61,Lower
10/4/1983,,19.61,Lower
1/25/1984,,58.61,Lower
10/9/1985,,-21.39,Lower
2/11/1986,,17.61,Lower
10/15/1986,,42.61,Lower
3/4/1988,,49.61,Lower
2/14/1989,,38.61,Lower
10/24/1989,,31.61,Lower
2/9/1990,,26.61,Lower
2/25/1992,,-3.49,Lower
11/3/1992,,-61.69,Lower
3/12/1993,,-3.59,Lower
10/15/1993,,-35.39,Lower
2/11/1994,,14.61,Lower
10/13/1994,,-62.39,Lower
2/21/1995,,-4.19,Lower
2/2/1996,,13.31,Lower
2/11/1997,,32.21,Lower
10/20/1997,,-35.69,Lower
10/26/1998,,2.71,Lower
2/12/1999,,40.51,Lower
10/20/1999,,-7.59,Lower
1/14/2000,,26.41,Lower
1/18/2001,,15.01,Lower
10/16/2001,,-116.49,Lower
1/31/2002,,-14.99,Lower
11/13/2003,,-19.79,Lower
1/26/2004,,6.61,Lower
10/26/2004,,-21.89,Lower
10/17/2006,,15.9,Lower
6/23/2008,,-62.8,Lower
10/29/2008,,-80.5,Lower
6/1/2009,,-81.3,Lower
10/18/2011,,-27,Lower
1/12/2012,,-12.9,Lower
2/17/2012,,-9.6,Lower
8/24/2012,,-83.3,Lower
2/15/2013,,-36.4,Lower
8/16/2013,,-36.4,Lower
2/4/2014,,-84.5,Lower
9/12/2014,,-120.55,Lower
1/9/2015,,-88.4,Lower
1/30/2015,,-79.9,Lower
6/19/2015,,-121,Lower
1/18/2016,,-97.92,Lower
2/11/2016,,-89.4,Lower
10/17/2016,,-110.93,Lower
5/2/2017,,-77.2,Lower
8/9/2017,,-99.3,Lower
8/15/2017,,-99.3,Lower
11/28/2017,,-73.5,Lower
3/27/2018,,-61.7,Lower
6/28/2018,,-110.3,Lower
10/22/2018,,-105.6,Lower
3/4/2019,,-69.6,Lower
6/4/2019,,-76.7,Lower
6/5/2019,,-76.7,Lower
9/24/2019,,-95.3,Lower
9/26/2019,,-95.3,Lower
1/17/2020,,-122,Lower
10/9/2020,,-188.7,Lower
3/24/2021,,-141.38,Lower
10/13/2021,,-194.3,Lower
3/16/2022,,-165.75,Lower
10/4/2022,,-199.04,Lower
3/21/2023,,-130.84,Lower
10/18/2023,,-130.97,Lower
3/19/2024,,-94.3,Lower
