Aquifer,Top,Bot,Thick_ft,Description
Upper,0,5,5,clay
Upper,5,45,40,clay
Upper,45,50,5,sand
Upper,50,55,5,clay
Upper,55,180,125,clay
Upper,180,210,30,sand
Upper,210,235,25,sand
Upper,235,264,29,clay
Upper,264,269,5,sand
Upper,269,274,5,clay
Upper,274,279,5,sand
Upper,279,285,6,clay
Upper,285,296,11,sand
Upper,296,316,20,sand
Upper,316,337,21,clay
Upper,337,341,4,sand
Upper,341,345,4,clay
Upper,345,355,10,sand
Upper,355,372,17,clay
Upper,372,378,6,sand
Upper,378,384,6,clay
Upper,384,386,2,sand
Upper,386,388,2,clay
Upper,388,396,8,sand
Upper,396,404,8,sand
Upper,404,412,8,clay
Upper,412,425,13,sand
Upper,425,447,22,clay
Upper,447,454,7,sand
Upper,454,462,8,clay
Upper,462,466,4,sand
Upper,466,471,5,clay
Upper,471,475,4,sand
Upper,475,479,4,clay
Upper,479,487,8,sand
Upper,487,495,8,clay
Upper,495,498,3,sand
Upper,498,502,4,clay
Upper,502,506,4,sand
Upper,506,510,4,clay
Upper,510,518,8,sand
Upper,518,527,9,clay
Upper,527,531,4,sand
Upper,531,536,5,clay
Upper,536,540,4,sand
Upper,540,545,5,clay
Upper,545,548,3,sand
Upper,548,552,4,clay
Upper,552,557,5,sand
Upper,557,562,5,clay
Upper,562,568,6,sand
Upper,568,574,6,clay
Upper,574,582,8,sand
Upper,582,590,8,clay
Upper,590,592,2,sand
Upper,592,594,2,sand
Upper,594,596,2,clay
Upper,596,623,27,sand
Corcoran,623,650,27,clay
Corcoran,650,680,30,clay
Corcoran,680,690,10,clay
Corcoran,690,693,3,sand
Lower,693,700,7,sand
Lower,700,710,10,clay
Lower,710,720,10,sand
Lower,720,730,10,clay
Lower,730,735,5,sand
Lower,735,740,5,clay
Lower,740,745,5,sand
Lower,745,750,5,clay
Lower,750,755,5,sand
Lower,755,760,5,clay
Lower,760,765,5,sand
Lower,765,770,5,clay
Lower,770,775,5,sand
Lower,775,780,5,clay
Lower,780,785,5,sand
Lower,785,790,5,clay
Lower,790,795,5,sand
Lower,795,800,5,clay
Lower,800,805,5,sand
Lower,805,810,5,clay
Lower,810,845,35,sand
Lower,845,880,35,clay
Lower,880,910,30,sand
Lower,910,940,30,clay
Lower,940,1030,90,clay
Lower,1030,1060,30,clay
Lower,1060,1075,15,sand
Lower,1075,1090,15,clay
Lower,1090,1130,40,sand
Lower,1130,1170,40,clay
Lower,1170,1180,10,sand
Lower,1180,1190,10,clay
Lower,1190,1200,10,sand
Lower,1200,1210,10,clay
Lower,1210,1215,5,sand
Lower,1215,1220,5,clay
Lower,1220,1280,60,clay
Lower,1280,1310,30,clay
Lower,1310,1325,15,sand
Lower,1325,1340,15,clay
Lower,1340,1350,10,clay
Lower,1350,1360,10,sand
Lower,1360,1370,10,clay
Lower,1370,1375,5,sand
Lower,1375,1380,5,clay
Lower,1380,1410,30,clay
Lower,1410,1415,5,sand
Lower,1415,1420,5,clay
Lower,1420,1475,55,sand
Lower,1475,1530,55,clay
Lower,1530,1540,10,clay
Lower,1540,1690,150,clay
Lower,1690,1705,15,sand
Lower,1705,1720,15,clay
Lower,1720,1725,5,sand
Lower,1725,1730,5,clay
Lower,1730,2070,340,clay
Lower,2070,2085,15,sand
Lower,2085,2100,15,clay
Lower,2100,2110,10,sand
Lower,2110,2120,10,clay
Lower,2120,2170,50,sand
Lower,2170,2220,50,clay
Lower,2220,2255,35,sand
