Aquifer,Top,Bot,Thick_ft,Description
Upper,0,15,15,clay
Upper,15,35,20,sand
Upper,35,60,25,sand
Upper,60,65,5,clay
Upper,65,95,30,sand
Upper,95,130,35,sand
Upper,130,176,46,sand
Upper,176,183,7,clay
Upper,183,195,12,sand
Upper,195,200,5,clay
Upper,200,300,100,sand
Upper,300,315,15,sand
Upper,315,350,35,sand
Upper,350,360,10,clay
Upper,360,380,20,sand
Upper,380,460,80,sand
Upper,460,500,40,clay
Upper,500,515,15,sand
Upper,515,530,15,clay
Upper,530,540,10,sand
Upper,540,560,20,sand
Upper,560,590,30,sand
Upper,590,598,8,sand
Upper,598,607,9,sand
Upper,607,663,56,sand
Upper,663,670,7,sand
Upper,670,722,52,sand
Corcoran,722,770,48,clay
Lower,770,790,20,sand
Lower,790,820,30,sand
Lower,820,890,70,clay
Lower,890,910,20,sand
Lower,910,950,40,sand
Lower,950,1080,130,sand
Lower,1080,1120,40,sand
Lower,1120,1390,270,sand
Lower,1390,1410,20,sand
Lower,1410,1490,80,sand
Lower,1490,1610,120,sand
Lower,1610,1660,50,sand
Lower,1660,1670,10,sand
Lower,1670,1680,10,clay
Lower,1680,1710,30,sand
Lower,1710,1780,70,sand
Lower,1780,1785,5,sand
Lower,1785,1790,5,clay
Lower,1790,1810,20,sand
Lower,1810,1830,20,clay
Lower,1830,1845,15,sand
Lower,1845,1860,15,clay
Lower,1900,1950,50,sand
Lower,1950,2000,50,clay
Lower,2000,2015,15,sand
Lower,2015,2030,15,clay
Lower,2030,2045,15,sand
Lower,2045,2060,15,clay
Lower,2060,2075,15,sand
Lower,2075,2090,15,clay
Lower,2090,2100,10,sand
Lower,2100,2110,10,clay
Lower,2110,2120,10,sand
Lower,2120,2130,10,clay
Lower,2130,2162,32,sand
Lower,2162,2195,33,clay
Lower,2195,2227,32,sand
Lower,2227,2260,33,clay
Lower,2260,2267,7,sand
Lower,2267,2275,8,clay
Lower,2275,2282,7,sand
Lower,2282,2290,8,clay
